id,title,description,availability,condition,price,link,image_link,brand,item_group_id,color,size,material,shipping_weight
aufkleber_5_0,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,schwarz,30cm,,0.5kg
aufkleber_5_1,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,gelb,30cm,,0.5kg
aufkleber_5_2,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,rot,30cm,,0.5kg
aufkleber_5_3,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,dunkelblau,30cm,,0.5kg
aufkleber_5_4,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,grün,30cm,,0.5kg
aufkleber_5_5,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,grau,30cm,,0.5kg
aufkleber_5_6,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"15.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,weiß,30cm,,0.5kg
aufkleber_5_7,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"17.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,schwarz,60cm,,0.5kg
aufkleber_5_8,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"17.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,gelb,60cm,,0.5kg
aufkleber_5_9,"Watzmann Aufkleber","Unsere Aufkleber und Textilien sind keine Lagerware. Diese werden nach der Bestellung individuell für Dich angefertigt. ","In Stock",New,"17.00 EUR",https://klebefux.de/home/94-watzmann-aufkleber.html,https://klebefux.de/auftragsbearbeitung/images.php?product=94&image=1120,klebefux,aufkleber5,rot,60cm,,0.5kg
